run_id,image_name,corruption_mode,corruption_ratio,mode,psnr,ssim,rse,runtime_s,output_ok,notes
2026-04-12_run_053,barbara,random_pixel,0.3,plain_guidance,29.4335,0.8981,0.0750,15.3997,1,source=skimage:brick
2026-04-12_run_053,barbara,random_pixel,0.7,plain_guidance,21.7189,0.5795,0.1824,15.1958,1,source=skimage:brick
2026-04-12_run_053,barbara,center_block,0.35,plain_guidance,19.2680,0.7603,0.2418,14.0630,1,source=skimage:brick
2026-04-12_run_053,barbara,text,0.3,plain_guidance,36.5561,0.9848,0.0330,16.0049,1,source=skimage:brick
2026-04-12_run_053,peppers,random_pixel,0.3,plain_guidance,23.1094,0.6368,0.1507,14.8787,1,source=skimage:coffee
2026-04-12_run_053,peppers,random_pixel,0.7,plain_guidance,15.2643,0.3261,0.3719,15.5929,1,source=skimage:coffee
2026-04-12_run_053,peppers,center_block,0.35,plain_guidance,16.8543,0.7341,0.3097,13.8756,1,source=skimage:coffee
2026-04-12_run_053,peppers,text,0.3,plain_guidance,30.3754,0.9699,0.0653,15.7324,1,source=skimage:coffee
2026-04-12_run_053,cameraman,random_pixel,0.3,plain_guidance,21.3495,0.4603,0.1468,14.1186,1,source=skimage:camera
2026-04-12_run_053,cameraman,random_pixel,0.7,plain_guidance,13.4740,0.2204,0.3635,14.9099,1,source=skimage:camera
2026-04-12_run_053,cameraman,center_block,0.35,plain_guidance,13.4256,0.7004,0.3656,13.2811,1,source=skimage:camera
2026-04-12_run_053,cameraman,text,0.3,plain_guidance,29.1733,0.9580,0.0596,16.1262,1,source=skimage:camera
2026-04-12_run_054,lena,random_pixel,0.3,coe_guided,20.5233,0.5625,0.1748,15.1177,1,source=skimage:astronaut
2026-04-12_run_054,lena,random_pixel,0.7,coe_guided,13.0882,0.2694,0.4115,15.8285,1,source=skimage:astronaut
2026-04-12_run_054,lena,center_block,0.35,coe_guided,14.3309,0.6970,0.3566,14.2561,1,source=skimage:astronaut
2026-04-12_run_054,lena,text,0.3,coe_guided,28.8651,0.9619,0.0669,15.7265,1,source=skimage:astronaut
2026-04-12_run_054,barbara,random_pixel,0.3,coe_guided,29.4335,0.8981,0.0750,15.7121,1,source=skimage:brick
2026-04-12_run_054,barbara,random_pixel,0.7,coe_guided,21.7189,0.5795,0.1824,15.2869,1,source=skimage:brick
2026-04-12_run_054,barbara,center_block,0.35,coe_guided,19.2680,0.7603,0.2418,13.6533,1,source=skimage:brick
2026-04-12_run_054,barbara,text,0.3,coe_guided,36.5561,0.9848,0.0330,15.9244,1,source=skimage:brick
2026-04-12_run_054,peppers,random_pixel,0.3,coe_guided,23.1094,0.6368,0.1507,15.0577,1,source=skimage:coffee
2026-04-12_run_054,peppers,random_pixel,0.7,coe_guided,15.2643,0.3261,0.3719,15.7079,1,source=skimage:coffee
2026-04-12_run_054,peppers,center_block,0.35,coe_guided,16.8543,0.7341,0.3097,13.7526,1,source=skimage:coffee
2026-04-12_run_054,peppers,text,0.3,coe_guided,30.3754,0.9699,0.0653,15.9102,1,source=skimage:coffee
2026-04-12_run_054,cameraman,random_pixel,0.3,coe_guided,21.3495,0.4603,0.1468,14.4828,1,source=skimage:camera
2026-04-12_run_054,cameraman,random_pixel,0.7,coe_guided,13.4740,0.2204,0.3635,14.9345,1,source=skimage:camera
2026-04-12_run_054,cameraman,center_block,0.35,coe_guided,13.4256,0.7004,0.3656,13.2058,1,source=skimage:camera
2026-04-12_run_054,cameraman,text,0.3,coe_guided,29.1733,0.9580,0.0596,15.9937,1,source=skimage:camera
